"id" "city" "longitude" "latitude" "temperature" "pressure" "humidity" "windspeed" "winddirection" "description"
5410004 "Windsor" -122.816383 38.547131 17.56 1020 63 5.7 260 "broken clouds"
5392567 "San Rafael" -122.53109 37.97353 17.36 1017 55 1.5 350 "Sky is Clear"
5378044 "Novato" -122.569702 38.107422 17.68 1022 59 4.1 290 "Sky is Clear"
5382232 "Petaluma" -122.63665 38.232422 17.81 1022 59 4.1 290 "Sky is Clear"
5337908 "Clearlake" -122.626373 38.958229 18.57 1022 55 6.7 330 "Sky is Clear"
5393052 "Santa Cruz" -122.0308 36.974121 18.07 1021 63 1.5 170 "few clouds"
5394136 "Seaside" -121.851624 36.611069 18.05 1022 63 3.1 280 "Sky is Clear"
5391295 "Salinas" -121.655502 36.677738 17.66 1021 55 6.7 260 "Sky is Clear"
5407529 "Watsonville" -121.756889 36.910229 17.94 1021 63 1.5 170 "few clouds"
5368518 "Los Gatos" -121.974678 37.226608 17.9 1022 48 8.7 300 "heavy intensity rain"
5374764 "Morgan Hill" -121.654388 37.130501 17.93 1021 100 6.7 310 "Sky is Clear"
5386834 "Redwood City" -122.236351 37.485222 17.49 1022 59 7.2 290 "heavy intensity rain"
5378538 "Oakland" -122.270798 37.804371 17.26 1022 55 8.7 290 "scattered clouds"
5327684 "Berkeley" -122.272751 37.87159 17.28 1022 55 8.7 290 "scattered clouds"
5392171 "San Jose" -121.894958 37.33939 17.57 1022 48 8.7 300 "few clouds"
5323566 "Alum Rock" -121.827179 37.366051 17.46 1022 48 8.7 300 "few clouds"
5350734 "Fremont" -121.988571 37.548271 17.34 1021 59 8.2 280 "heavy intensity rain"
5392593 "San Ramon" -121.97802 37.77993 17.48 1021 59 8.2 280 "Sky is Clear"
5367440 "Livermore" -121.768013 37.68187 17.61 1021 55 5.7 250 "few clouds"
5330642 "Brentwood" -121.725769 37.926868 18.05 1021 55 5.7 250 "few clouds"
5357499 "Hollister" -121.401604 36.852451 18.35 1021 55 6.2 230 "Sky is Clear"
5352214 "Gilroy" -121.568283 37.005779 17.9 1021 100 6.7 310 "Sky is Clear"
5403191 "Tracy" -121.425217 37.739651 19.08 1020 37 4.1 320 "Sky is Clear"
5399020 "Stockton" -121.290779 37.957699 19.42 1020 37 4.1 320 "Sky is Clear"
5381515 "Patterson" -121.129662 37.4716 19.21 1019 37 5.1 310 "Sky is Clear"
5335650 "Ceres" -120.95771 37.594929 21.16 1019 37 5.1 310 "Sky is Clear"
5370164 "Manteca" -121.216049 37.797428 19.61 1020 37 4.1 320 "Sky is Clear"
5373900 "Modesto" -120.99688 37.639099 19.57 1019 37 5.1 310 "Sky is Clear"
5405380 "Vallejo" -122.256638 38.104092 17.66 1022 72 5.1 280 "Sky is Clear"
5323694 "American Canyon" -122.260803 38.174919 17.73 1021 63 7.2 260 "few clouds"
5376095 "Napa" -122.28553 38.297138 17.91 1021 63 7.2 260 "few clouds"
5339111 "Concord" -122.031067 37.977982 17.31 1020 55 6.7 250 "Sky is Clear"
5347335 "Fairfield" -122.03997 38.249359 17.96 1020 55 6.7 250 "Sky is Clear"
5324200 "Antioch" -121.805794 38.004921 17.87 1020 55 6.7 250 "Sky is Clear"
5341704 "Davis" -121.740517 38.54491 20.18 1020 30 1.5 350 "few clouds"
5410430 "Woodland" -121.7733 38.67852 19.93 1020 30 1.5 350 "few clouds"
5389489 "Sacramento" -121.4944 38.58157 20.14 1020 33 2.1 360 "Sky is Clear"
5346111 "Elk Grove" -121.37162 38.408798 20.39 1020 33 2.1 360 "Sky is Clear"
5367565 "Lodi" -121.272453 38.130199 19.77 1020 37 4.1 320 "Sky is Clear"
5333282 "Cameron Park" -120.98716 38.668789 17.47 1020 34 3.1 320 "Sky is Clear"
5366375 "Lincoln" -121.293007 38.89156 18.77 1021 51 3.6 280 "Sky is Clear"
5411015 "Yuba City" -121.616913 39.14045 20.24 1020 40 1.92 221 "Sky is Clear"
5388881 "Roseville" -121.28801 38.752121 19.02 1020 37 2.6 330 "Sky is Clear"
5345679 "El Dorado Hills" -121.082169 38.685741 17.8 1020 34 3.1 320 "Sky is Clear"
5324802 "Arroyo Grande" -120.590729 35.118591 16.74 1018 59 10.8 320 "Sky is Clear"
5367788 "Lompoc" -120.457939 34.639149 18.55 1018 63 8.2 310 "Sky is Clear"
5393180 "Santa Maria" -120.435722 34.95303 17.63 1018 67 9.8 300 "few clouds"
5392952 "Santa Barbara" -119.698189 34.42083 20.07 1014 40 3.6 250 "Sky is Clear"
5392323 "San Luis Obispo" -120.659622 35.282749 18.24 1018 59 10.8 320 "Sky is Clear"
5325111 "Atascadero" -120.670731 35.489422 19.75 1018 33 5.1 320 "Sky is Clear"
5381438 "Paso Robles" -120.691002 35.62664 20.97 1018 33 5.1 320 "Sky is Clear"
5325327 "Avenal" -120.129028 36.00412 21.66 1019 30 5.7 20 "Sky is Clear"
5339539 "Corcoran" -119.560402 36.098011 21.5 1019 33 4.6 340 "Sky is Clear"
5365918 "Lemoore" -119.782913 36.300781 21.42 1019 30 5.7 20 "Sky is Clear"
5355180 "Hanford" -119.645683 36.32745 21.51 1019 33 4.1 360 "Sky is Clear"
5384339 "Port Hueneme" -119.195107 34.147781 20.83 1015 68 5.1 250 "few clouds"
5380184 "Oxnard" -119.177048 34.197498 20.26 1014 68 5.1 240 "Sky is Clear"
5333180 "Camarillo" -119.037598 34.216389 21.05 1014 59 4.6 230 "Sky is Clear"
5402405 "Thousand Oaks" -118.837593 34.170559 20.66 1014 59 4.6 230 "Sky is Clear"
5396003 "Simi Valley" -118.781479 34.269451 20.76 1014 59 4.6 230 "Sky is Clear"
5393049 "Santa Clarita" -118.542587 34.391659 20.67 1014 23 6.2 300 "Sky is Clear"
5345860 "El Segundo" -118.416473 33.919182 21.43 1014 52 8.7 290 "Sky is Clear"
5357527 "Hollywood" -118.326736 34.098339 21.87 1014 59 4.1 260 "Sky is Clear"
5367929 "Long Beach" -118.189232 33.76696 22.03 1014 43 5.7 260 "Sky is Clear"
5368361 "Los Angeles" -118.243683 34.052231 21.5 1014 37 4.6 280 "Sky is Clear"
5344994 "East Los Angeles" -118.17202 34.023899 22.13 1013 38 2.1 280 "Sky is Clear"
5331835 "Burbank" -118.308968 34.18084 21.46 1014 23 6.2 300 "Sky is Clear"
5391945 "San Fernando" -118.438972 34.281952 20.77 1014 23 6.2 300 "Sky is Clear"
5377613 "North Glendale" -118.264519 34.160561 21.36 1014 23 6.2 300 "Sky is Clear"
5334799 "Castaic" -118.622871 34.48888 20.15 1014 23 6.2 300 "Sky is Clear"
5364940 "Lancaster" -118.136742 34.69804 18.36 1016 28 14.9 280 "Sky is Clear"
5388735 "Rosamond" -118.163406 34.86414 17.22 1020 28 7.7 310 "Sky is Clear"
5550368 "Wasco" -119.34095 35.59412 21.23 1018 26 6.7 320 "Sky is Clear"
5342485 "Delano" -119.247047 35.768841 21.63 1019 30 4.6 330 "Sky is Clear"
5325738 "Bakersfield" -119.018707 35.373291 20.51 1018 26 6.7 320 "Sky is Clear"
5324903 "Arvin" -118.82843 35.209129 17.99 1020 44 7.7 310 "Sky is Clear"
5343171 "Dinuba" -119.38707 36.543282 16.68 1019 33 4.1 360 "Sky is Clear"
5406567 "Visalia" -119.292061 36.330231 17.37 1019 33 4.1 360 "Sky is Clear"
5384471 "Porterville" -119.016769 36.065231 18.67 1019 30 4.6 330 "Sky is Clear"
5368453 "Los Banos" -120.849922 37.058281 20.42 1019 40 3.6 340 "Sky is Clear"
5336667 "Chowchilla" -120.260178 37.123001 19.7 1019 40 4.6 320 "Sky is Clear"
5404024 "Turlock" -120.846588 37.494659 20.61 1019 37 5.1 310 "Sky is Clear"
5378500 "Oakdale" -120.847153 37.76659 21.04 1019 37 5.1 310 "Sky is Clear"
5372253 "Merced" -120.482971 37.302158 21.06 1019 40 3.6 340 "Sky is Clear"
5369568 "Madera" -120.060722 36.961342 19.66 1019 40 4.6 320 "Sky is Clear"
5350937 "Fresno" -119.772369 36.74773 21.31 1019 37 3.6 320 "few clouds"
5392868 "Sanger" -119.555969 36.708012 21.43 1019 37 3.6 320 "few clouds"
5338122 "Clovis" -119.702919 36.82523 21.32 1019 37 3.6 320 "few clouds"
5338683 "Clovis" -119.620689 36.866341 20.42 1019 37 3.6 320 "few clouds"
5397664 "South Lake Tahoe" -119.984352 38.933239 10.84 1021 52 3.6 200 "light rain"
5403676 "Truckee" -120.18325 39.327961 11.3 1021 61 4.1 270 "few clouds"
5501344 "Carson City" -119.767403 39.163799 11.68 1019 28 4.6 310 "light rain"
5386984 "Reedley" -119.450401 36.59634 21.51 1019 33 4.1 360 "Sky is Clear"
5570160 "Redding" -122.391678 40.58654 17.36 1019 48 2.1 200 "broken clouds"
5336269 "Chico" -121.837479 39.728489 19.33 1021 45 2.6 270 "overcast clouds"
5379759 "Oroville" -121.556358 39.513779 18.9 1020 42 2.6 270 "Sky is Clear"
5381002 "Paradise" -121.621918 39.759609 19.51 1021 45 2.6 270 "overcast clouds"
5572400 "Susanville" -120.653008 40.416279 9.44 1020 63 2.52 265 "Sky is Clear"
5511077 "Reno" -119.813797 39.529629 12.8 1019 40 5.7 300 "Sky is Clear"
5504003 "Fernley" -119.251831 39.607971 15.04 1019 40 5.7 300 "Sky is Clear"
5323810 "Anaheim" -117.914497 33.835289 22.24 1014 25 2.6 260 "Sky is Clear"
5407933 "West Covina" -117.93895 34.068619 21.78 1015 25 4.1 220 "Sky is Clear"
5339631 "Corona" -117.566437 33.87529 22.28 1014 27 7.7 240 "few clouds"
5385955 "Rancho Cucamonga" -117.593109 34.1064 22.49 1014 27 6.2 250 "few clouds"
5380698 "Palmdale" -118.116463 34.57943 20.53 1016 25 13.4 300 "Sky is Clear"
5387877 "Riverside" -117.396156 33.95335 22.35 1014 28 7.7 260 "Sky is Clear"
5374732 "Moreno Valley" -117.230591 33.937519 22.48 1014 33 6.7 310 "Sky is Clear"
5386754 "Redlands" -117.182541 34.055569 22.74 1014 27 8.2 230 "Sky is Clear"
5391710 "San Bernardino" -117.289772 34.108341 22.66 1014 27 8.2 230 "Sky is Clear"
5326032 "Banning" -116.876411 33.925571 22.88 1014 33 6.7 310 "Sky is Clear"
5406222 "Victorville" -117.291161 34.53611 19.81 1016 13 3.6 290 "Sky is Clear"
5326305 "Barstow Heights" -117.056152 34.869709 22.62 1014 9 5.7 280 "Sky is Clear"
5387494 "Ridgecrest" -117.670898 35.622459 21.61 1013 15 6.2 200 "Sky is Clear"
5380668 "Palm Springs" -116.545288 33.830299 23.13 1011 15 5.1 310 "Sky is Clear"
5335006 "Cathedral City" -116.465286 33.779739 22.77 1011 15 5.1 310 "Sky is Clear"
5342710 "Desert Hot Springs" -116.501678 33.961121 25.45 1011 15 5.1 310 "Sky is Clear"
5411079 "Yucca Valley" -116.432243 34.11417 25.54 1019 16 3.6 250 "Sky is Clear"
5404198 "Twentynine Palms" -116.054169 34.135559 25.5 1015 8 6.2 350 "Sky is Clear"
